CNT,ST004D01T,ST062Q01TA,ST062Q02TA,ST294Q02JA,ST295Q02JA,ST296Q04JA,RELATST,BELONG,PERSEVAGR,CURIOAGR,GROSAGR,FAMSUP,DISCLIM,TEACHSUP,MATHEFF,ANXMAT,MATHPERS,HISCED,HISEI,HOMEPOS,ESCS,top_10_percent
DEU,1.0,1.0,1.0,1.0,4.0,,-0.8281,-0.338,,,,-0.5913,,,,-0.2885,,3.0,,0.8994,-0.364,0
DEU,1.0,1.0,1.0,4.0,5.0,6.0,0.7033,2.2967,2.1263,1.8413,0.7708,,0.1997,1.5558,,,,3.0,48.1,-0.0973,-1.0256,0
DEU,1.0,3.0,2.0,3.0,5.0,1.0,0.7185,-0.2623,-0.5102,0.4332,-0.1038,-1.2252,-0.3155,-0.1002,0.1916,-0.3794,0.0978,8.0,53.15,-1.5149,-0.3459,1
DEU,1.0,1.0,1.0,6.0,6.0,3.0,0.5772,-0.4137,-0.0338,-0.1832,-0.7069,-0.1443,0.0926,0.8211,0.457,0.6566,1.3201,3.0,54.92,0.8994,-0.4746,0
DEU,1.0,,,,,,,,,,,,,,,,,,,,,0
DEU,1.0,1.0,1.0,6.0,6.0,3.0,0.6098,0.1436,1.1754,1.1794,0.7558,0.4902,0.757,-0.8059,0.546,-1.2788,0.8581,6.0,54.27,0.3511,-0.2115,0
DEU,2.0,1.0,1.0,3.0,3.0,1.0,-1.9467,-0.6301,-0.2018,-0.9844,-0.3649,0.3663,-0.0787,-1.3627,-1.4424,0.6566,-0.2411,8.0,44.14,-0.2296,0.0283,0
DEU,1.0,1.0,1.0,1.0,3.0,1.0,-0.5436,0.8452,0.3899,0.793,0.4068,,1.0945,0.8211,-0.2453,-1.299,0.3635,8.0,51.92,-0.0936,0.2328,0
DEU,2.0,1.0,1.0,3.0,3.0,2.0,1.1033,1.1073,0.1584,-1.3223,0.2958,1.7065,1.8242,-0.3322,-0.0051,0.1932,-0.9469,10.0,43.33,-0.3468,-0.0366,0
DEU,1.0,1.0,1.0,1.0,4.0,1.0,-0.2308,-0.8112,0.4603,0.9645,-0.4267,,0.1003,-0.3322,0.6213,-0.5006,1.0596,9.0,88.96,0.6627,1.2525,1
DEU,2.0,,,,,,,,,,,,,,,,,,,,,0
DEU,1.0,1.0,1.0,1.0,5.0,2.0,0.7913,2.7562,-0.0388,-0.5516,0.5858,0.1118,-0.4961,1.5558,0.4274,-0.508,-0.3955,9.0,75.54,1.4859,1.3477,0
DEU,2.0,,,,,,,,,,,,,,,,,,,,,0
DEU,1.0,1.0,1.0,1.0,5.0,2.0,-0.5414,-0.6742,-0.3817,-0.7056,0.0207,,-1.3596,-0.5635,,,,9.0,17.0,0.9374,0.0101,0
DEU,2.0,1.0,1.0,,3.0,2.0,1.5518,2.1143,3.215,2.6302,0.7342,1.767,1.8242,1.5558,0.799,-0.1371,2.1358,6.0,56.0,0.3946,-0.1604,0
DEU,2.0,1.0,3.0,2.0,1.0,1.0,-0.9505,0.5453,-1.1341,-0.4189,0.3361,-1.5678,-1.0127,-0.1002,-2.0204,0.6387,-1.1861,9.0,,-0.3313,-0.3338,0
DEU,2.0,1.0,1.0,2.0,4.0,1.0,0.8968,0.7289,0.5668,1.9778,-0.2863,-0.0271,-0.4735,1.5558,1.4586,-1.2788,0.1862,9.0,73.91,1.0263,1.1223,1
DEU,1.0,1.0,1.0,3.0,2.0,2.0,1.5522,0.091,-0.1774,-0.406,0.3915,1.5622,-0.1126,-1.0693,0.0268,0.8251,0.2037,8.0,,-0.4114,0.0133,0
DEU,1.0,1.0,1.0,6.0,6.0,3.0,-1.1911,1.1471,-0.7422,2.7268,-0.4952,0.4126,1.8217,-2.9095,-1.8915,2.5429,0.7601,6.0,44.92,-1.4079,-1.133,0
DEU,2.0,1.0,1.0,1.0,6.0,2.0,1.8199,1.1471,1.2887,1.7735,-1.4234,1.6483,1.7777,0.8211,1.1602,0.1932,0.8746,3.0,57.03,0.6403,-0.5446,0
DEU,1.0,1.0,1.0,1.0,6.0,2.0,-0.1976,1.0491,-0.7605,-0.4885,-0.0737,-0.0338,0.1166,0.1475,-1.3037,0.1932,0.1001,8.0,76.65,0.2492,0.8449,0
DEU,2.0,1.0,1.0,1.0,3.0,1.0,-0.32,0.5214,0.6701,-0.1037,-1.0993,0.4258,-0.8779,-0.3322,0.7895,-0.7358,-0.7368,8.0,68.55,1.5575,1.2461,0
DEU,2.0,,,,,,,,,,,,,,,,,,,,,0
DEU,1.0,1.0,1.0,4.0,3.0,2.0,0.1955,0.2003,0.8776,1.0382,-0.0737,,0.7852,-0.3322,-0.2495,0.4252,1.2125,8.0,41.22,1.1417,0.554,0
DEU,2.0,1.0,1.0,2.0,2.0,1.0,-0.6252,0.5181,-0.3237,-0.8005,-0.3649,1.6687,0.5807,-0.5635,-1.1943,0.1932,0.3682,,23.57,-0.5309,-1.7574,0
DEU,2.0,3.0,1.0,3.0,2.0,1.0,-1.1512,-0.338,-0.0122,-0.773,0.2933,-0.4673,0.1765,-2.1346,-0.4295,-0.0575,-0.6873,3.0,65.12,-0.7389,-0.9759,0
DEU,1.0,1.0,1.0,1.0,6.0,1.0,0.9922,2.1143,3.7994,1.6002,-0.339,-0.3785,1.8217,1.5558,0.9127,-2.3945,2.595,10.0,79.49,-0.7075,0.4933,1
DEU,1.0,,,,,,,,,,,,,,,,,,,,,0
DEU,2.0,1.0,3.0,2.0,5.0,2.0,-1.0067,2.4581,0.3833,1.1308,1.2661,-0.3569,0.1201,0.4357,-0.2336,-2.249,0.6375,6.0,76.49,0.2648,0.1716,0
DEU,1.0,,,,,,,,,,,,,,,,,,,,,0
DEU,2.0,1.0,1.0,1.0,4.0,3.0,0.6144,0.0731,0.6713,-0.7438,0.9252,0.6731,0.6461,0.8211,0.3953,-0.3744,0.3243,6.0,57.04,0.556,-0.0724,1
